"""GROCERIES AND MEATS-REI'AIL CONTD""",74
ORGANIZATIONS-WELFARE AND RELIEF-CONTD,74
PLIES,74
(ALSO KNOWN AS BLUE,74
"""20 WASHINGTON PLACE TEMPLE '""",74
FUR DEALERS and FURRIERS,74
ORGANIZATIONS -WELFARE AND RELIEF,74
WINDOW CLEANERS,73
"""CHURCHE AND SYNAGOGUl'B-CONTD""",73
Wl Iliams 1380,73
GROCERIES AND MEATS RETAIL CONTD,73
Pumemal Directors (See also Undertakers),73
Enamelers (See also Japanners),73
FRUIT DEALERS-RE TAIL,73
LIQUOR AND WINES- RETAIL,72
DENTLSTM.,72
RADIO SALES AND SERVICE,72
LIQUOR AND WINES-,72
Hosiery-Retail,72
Fruit Dealers-Retall,72
"Gleaners-aGarments, Curtains & Draperies",72
PHYSICIANS AN D SURGEONS-M.D. CONTD,72
*TRUCK TIRES,71
PHYSICIAN S AND SURGEONS-MD. CONTD,71
CLUBS- Contd,71
SERVI CE,71
LETTER SHOPS,71
CIAL),71
Glass Dealers-Window & Plate,71
MUSIC TEAC HERS,71
APARTMENTS AND TOWN HOUS.,71
ORGANIZATIONS - BUSINESS. CIVIC AND PROFESSIONAL,70
ONTD,70
J EWELERS-CO NTD,70
TRAVEL BUREAUS,70
CONTRACTORS -PLUMBING,70
"Schools, Gouegw & Academies",70
rm 419,70
REAL ESTATE OWNERS AND DEALERS-CONTD,70
PLASTIC PRODUCTS-MFRS,70
- RETAIL),70
CHURCHES AN D SYNAGOGUES-CONTD DIOC-E OF PROVIDENCE (CATHOLIC) 1 CATHEDRAL SQUARE PROVIDENCE RI,70
PUBLIC RELATIONS COUNSEL,70
"Schools, 00113ng & Academies",70
m S Meats-Retail,70
Insurance Companies-Liie,69
RELIEF,69
PAINTERS and DECORATORS,69
Westminster,69
AUTOMOBILE PARKING-CONTD,69
J ewelry Solderers INSIGNIA SPE CIALISTS,69
PHYSICMNS AND SURGEONS-MD. CONTD,69
A Funeral Directors ( See also Undertakers),69
I V,69
SOCIAL SERVICE AGENCIES,68
Engravers-Photo,68
PSYCHOLOGISTS,68
DENTISTS- Conts,68
JEWELERS-MFG-Contd-,68
ORGANIZATIONS- PATRIOTIC AND VETERANS,68
JEWELERS MFG-CONTD,68
1\nLODGING HOUSES,68
Accountants-Public,68
CON TRACTORS-BUILDIN G GENERAL,68
CONTRACTORS- PLUMBING,68
Vending Machines,67
PLASTIC PRODUCTS-MANUFAC- TURERS,67
"CARPETS, RUGS AND FLOOR COVERINGS- RETAIL",67
VARIETY STOKITS-lcrontd,67
CHURCHE AN D SYNAGOGUE-CONTD,67
Punenal Dirizctors (See also Undertakers),67
LAND COMPANIES,67
TION,66
Wall Paper Dealers-Retail,66
WI Iliams 1380,66
Banks & Trust Companies (See also Savings Banks),66
"""'Pumjgetlng""",66
"""*Bonds-I'idelity & Surety""",66
Telephone 861-6800,66
Rooters,65
CONFECTIONERY-RETAIL,65
*Undertakers (See also Funeral Directors),65
PHYSICIANS AND SURGEONs-MJJ. CONTD,65
Fuel and Range Oil,65
*Pire Insurance,65
FRUIT DEAIERS-RE TAIL,65
"""l'ruit Dealem-Retail""",65
GROCERI- AND MEATS RETAIL CONTD,65
PLUMBERS (See also Steam Fitters),65
Optical Goods-Mirs,65
Rug Dealers,65
